code_zone,zone,dispo_int,import,dispo_prot,dispo_alim,export,residus,var_stock,prod,nourriture,population
195,Sénégal,77.0,0.0,1.61,16.0,0.0,0.0,-0.0,77.0,73.0,15419.355
197,Sierra Leone,30.0,14.0,1.24,10.0,0.0,0.0,-0.0,17.0,30.0,7488.423
198,Slovénie,52.0,20.0,8.72,83.0,29.0,-0.0,11.0,72.0,51.0,2076.394
199,Slovaquie,74.0,63.0,4.74,48.0,35.0,-7.0,26.0,71.0,76.0,5447.9
202,Afrique du Sud,2118.0,514.0,14.11,143.0,63.0,0.0,-0.0,1667.0,2035.0,57009.756
203,Espagne,1497.0,205.0,12.47,105.0,212.0,-0.0,11.0,1515.0,1418.0,46647.428
207,Suriname,25.0,18.0,9.27,112.0,5.0,0.0,-2.0,10.0,18.0,570.496
208,Tadjikistan,40.0,38.0,1.45,18.0,0.0,0.0,-0.0,2.0,39.0,8880.268
209,Eswatini,7.0,2.0,2.23,22.0,0.0,0.0,0.0,6.0,7.0,1124.805
210,Suède,187.0,84.0,7.09,61.0,23.0,-37.0,31.0,157.0,164.0,9904.896
211,Suisse,133.0,51.0,6.49,55.0,4.0,0.0,5.0,91.0,133.0,8455.804
213,Turkménistan,27.0,9.0,1.53,15.0,0.0,0.0,2.0,20.0,26.0,5757.667
214,"Chine, Taiwan Province de",785.0,161.0,11.01,126.0,8.0,-0.0,20.0,652.0,785.0,23674.546
215,République-Unie de Tanzanie,108.0,2.0,0.63,6.0,0.0,0.0,-0.0,105.0,103.0,54660.339
216,Thaïlande,881.0,2.0,4.35,47.0,796.0,-48.0,1.0,1676.0,896.0,69209.81
217,Togo,54.0,16.0,2.39,24.0,0.0,0.0,1.0,40.0,54.0,7698.474
220,Trinité-et-Tobago,76.0,23.0,16.63,189.0,0.0,0.0,8.0,61.0,75.0,1384.059
221,Oman,114.0,126.0,7.38,73.0,16.0,-0.0,2.0,7.0,101.0,4665.928
222,Tunisie,195.0,0.0,6.28,57.0,4.0,-0.0,15.0,213.0,195.0,11433.443
223,Turquie,1674.0,3.0,6.99,71.0,429.0,0.0,92.0,2192.0,1674.0,81116.45
225,Émirats arabes unis,412.0,433.0,14.8,147.0,94.0,-0.0,-26.0,48.0,412.0,9487.203
226,Ouganda,66.0,0.0,0.51,5.0,0.0,0.0,-0.0,65.0,62.0,41166.588
229,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2234.0,779.0,13.77,120.0,359.0,0.0,0.0,1814.0,2131.0,66727.461
230,Ukraine,1009.0,121.0,7.58,78.0,273.0,0.0,49.0,1211.0,1006.0,44487.709
231,États-Unis d'Amérique,18266.0,123.0,19.93,219.0,3692.0,-0.0,80.0,21914.0,18100.0,325084.756
233,Burkina Faso,46.0,0.0,0.77,8.0,0.0,0.0,-0.0,46.0,44.0,19193.234
234,Uruguay,33.0,3.0,2.97,33.0,3.0,0.0,0.0,33.0,31.0,3436.641
235,Ouzbékistan,0.0,0.0,0.63,6.0,0.0,0.0,0.0,0.0,0.0,31959.785
236,Venezuela (République bolivarienne du),626.0,25.0,7.23,71.0,0.0,0.0,-1.0,600.0,596.0,29402.484
237,Viet Nam,1206.0,291.0,4.01,48.0,1.0,0.0,2.0,918.0,1166.0,94600.648
238,Éthiopie,14.0,1.0,0.04,0.0,0.0,0.0,0.0,14.0,14.0,106399.924
244,Samoa,15.0,17.0,21.88,217.0,0.0,-0.0,2.0,0.0,13.0,195.352
249,Yémen,246.0,78.0,3.04,30.0,0.0,0.0,-0.0,168.0,237.0,27834.819
251,Zambie,60.0,12.0,1.15,11.0,1.0,0.0,-0.0,49.0,58.0,16853.599
255,Belgique,152.0,338.0,4.57,44.0,656.0,-25.0,-6.0,463.0,144.0,11419.748
256,Luxembourg,11.0,11.0,7.19,69.0,1.0,0.0,0.0,0.0,11.0,591.91
272,Serbie,90.0,12.0,3.5,35.0,7.0,-0.0,0.0,85.0,90.0,8829.628
273,Monténégro,10.0,8.0,5.79,55.0,0.0,0.0,1.0,4.0,10.0,627.563
276,Soudan,69.0,2.0,0.54,5.0,0.0,0.0,0.0,67.0,65.0,40813.397
